iso_code,country,year,gdp,population,fossil_fuel_consumption,coal_consumption,coal_production,gas_consumption,gas_production,oil_consumption,oil_production,low_carbon_consumption,renewables_consumption,biofuel_consumption,hydro_consumption,solar_consumption,wind_consumption,other_renewable_consumption,nuclear_consumption
DZA,Algeria,2000,252000000000.0,31042000.0,299.786,5.641,0.0,191.013,918.887,103.133,775.472,0.15,0.15,0.0,0.15,0.0,0.0,0.0,0.0
DZA,Algeria,2001,252000000000.0,31452000.0,310.611,6.513,0.0,197.322,864.726,106.775,763.443,0.19,0.19,0.0,0.19,0.0,0.0,0.0,0.0
DZA,Algeria,2002,266000000000.0,31855000.0,321.784,8.548,0.0,194.839,889.417,118.397,823.159,0.156,0.156,0.0,0.156,0.0,0.0,0.0,0.0
DZA,Algeria,2003,289000000000.0,32264000.0,336.154,7.048,0.0,205.932,938.577,123.174,917.337,0.722,0.722,0.0,0.722,0.0,0.0,0.0,0.0
DZA,Algeria,2004,308000000000.0,32692000.0,349.055,8.408,0.0,211.899,920.55,128.747,970.121,0.679,0.679,0.0,0.679,0.0,0.0,0.0,0.0
DZA,Algeria,2005,354000000000.0,33150000.0,364.682,6.908,0.0,223.56,849.118,134.213,1003.638,1.494,1.494,0.0,1.494,0.0,0.0,0.0,0.0
DZA,Algeria,2006,386000000000.0,33641000.0,378.601,10.258,0.0,228.498,812.996,139.846,1000.902,0.582,0.582,0.0,0.582,0.0,0.0,0.0,0.0
DZA,Algeria,2007,398000000000.0,34167000.0,399.001,8.804,0.0,233.807,816.461,156.39,1004.153,0.6,0.6,0.0,0.6,0.0,0.0,0.0,0.0
DZA,Algeria,2008,423000000000.0,34731000.0,422.762,8.804,0.0,244.042,826.009,169.916,984.17,0.747,0.747,0.0,0.747,0.0,0.0,0.0,0.0
DZA,Algeria,2009,392000000000.0,35334000.0,447.905,5.652,0.0,262.118,765.669,180.135,896.773,0.897,0.897,0.0,0.897,0.0,0.0,0.0,0.0
DZA,Algeria,2010,448000000000.0,35977000.0,436.927,3.605,0.0,253.272,773.966,180.049,856.61,0.475,0.475,0.0,0.451,0.024,0.0,0.0,0.0
DZA,Algeria,2011,482000000000.0,36661000.0,463.396,3.198,0.0,267.97,795.988,192.228,832.227,1.027,1.027,0.0,0.98,0.047,0.0,0.0,0.0
DZA,Algeria,2012,493000000000.0,37384000.0,506.532,3.396,0.0,298.741,784.438,204.395,780.407,1.071,1.071,0.0,1.002,0.069,0.0,0.0,0.0
DZA,Algeria,2013,493000000000.0,38140000.0,536.629,1.838,0.0,321.215,793.389,213.577,752.215,0.327,0.327,0.0,0.253,0.073,0.0,0.0,0.0
DZA,Algeria,2014,494000000000.0,38924000.0,584.926,2.082,0.0,360.919,801.725,221.925,798.508,0.646,0.646,0.0,0.491,0.153,0.003,0.0,0.0
DZA,Algeria,2015,513000000000.0,39728000.0,616.921,1.547,0.0,379.225,814.112,236.149,780.558,0.562,0.562,0.0,0.367,0.147,0.048,0.0,0.0
DZA,Algeria,2016,534000000000.0,40551000.0,615.974,0.57,0.0,385.963,913.923,229.441,794.398,0.845,0.845,0.0,0.181,0.616,0.048,0.0,0.0
ARG,Argentina,2000,557000000000.0,36871000.0,572.457,7.513,0.0,322.968,363.813,241.977,480.09,113.669,96.511,0.0,94.539,0.0,0.097,1.875,17.158
ARG,Argentina,2001,525000000000.0,37276000.0,541.622,6.157,0.0,302.35,361.187,233.114,510.067,136.941,117.46,0.0,115.642,0.0,0.136,1.682,19.481
ARG,Argentina,2002,453000000000.0,37682000.0,513.836,4.586,0.0,294.376,351.17,214.874,502.46,132.194,116.233,0.0,113.7,0.0,0.201,2.331,15.961
ARG,Argentina,2003,487000000000.0,38088000.0,563.029,5.594,0.0,336.291,399.114,221.144,500.37,130.056,109.444,0.0,106.468,0.0,0.212,2.763,20.613
