country,predicted,actual,group
Algeria,351087559371.6304,534000000000.0,Medium GDP
Argentina,637677560491.9504,820000000000.0,Medium GDP
Australia,848235742743.5702,1070000000000.0,High GDP
Austria,391193906977.42834,395000000000.0,Medium GDP
Azerbaijan,172481291945.27997,145000000000.0,Medium GDP
Bangladesh,314997833227.42334,533000000000.0,Medium GDP
Belarus,204785748437.26706,180000000000.0,Medium GDP
Belgium,534560594990.803,448000000000.0,Medium GDP
Brazil,2898429721120.574,2810000000000.0,High GDP
Bulgaria,239906073044.55334,128000000000.0,Low GDP
Canada,2976019107203.238,1570000000000.0,High GDP
Chile,352902572088.4613,391000000000.0,Medium GDP
China,18590509462253.65,16900000000000.0,High GDP
Colombia,437167713183.1178,610000000000.0,Medium GDP
Croatia,157362109509.76926,93290250240.0,Low GDP
Cyprus,112139294341.12703,26539999232.0,Low GDP
Czechia,362622804411.7758,328000000000.0,Medium GDP
Denmark,222019641651.16058,259000000000.0,Medium GDP
Ecuador,218300597489.76477,169000000000.0,Medium GDP
Egypt,576160151602.7816,1110000000000.0,High GDP
Estonia,129752867829.0981,33684649984.0,Low GDP
Finland,366095790175.2094,211000000000.0,Medium GDP
France,2482473222811.0996,2600000000000.0,High GDP
Germany,2307901124183.2646,3920000000000.0,High GDP
Greece,257544810271.15253,264000000000.0,Medium GDP
Hong Kong,228759731131.86853,340000000000.0,Medium GDP
Hungary,249922097396.9848,236000000000.0,Medium GDP
Iceland,168980482915.54276,14398300160.0,Low GDP
India,4501429017385.477,7560000000000.0,High GDP
Indonesia,1089821498858.3461,2680000000000.0,High GDP
Iran,1325038485615.9736,1250000000000.0,High GDP
Iraq,327900666632.5785,544000000000.0,Medium GDP
Ireland,187805758930.63712,262000000000.0,Medium GDP
Israel,215594939458.78906,267000000000.0,Medium GDP
Italy,1092035113644.131,2130000000000.0,High GDP
Japan,2525722265127.639,4600000000000.0,High GDP
Kazakhstan,421513326605.8784,420000000000.0,Medium GDP
Kuwait,277379701782.2773,283000000000.0,Medium GDP
Latvia,124885967642.47198,45812883456.0,Low GDP
Lithuania,129429978393.49832,75063795712.0,Low GDP
Luxembourg,115648844965.49126,40329289728.0,Low GDP
Malaysia,607149352436.1266,687000000000.0,Medium GDP
Mexico,1127750724161.4685,1880000000000.0,High GDP
Morocco,210546865060.2829,264000000000.0,Medium GDP
Netherlands,533458171427.30194,839000000000.0,Medium GDP
New Zealand,289729126452.32227,159000000000.0,Medium GDP
North Macedonia,116316696230.9852,29162700800.0,Low GDP
Norway,675250396433.37,400000000000.0,Medium GDP
Oman,227597974868.77014,168000000000.0,Medium GDP
Pakistan,637541247332.0996,1020000000000.0,High GDP
Peru,291707153336.1273,355000000000.0,Medium GDP
Philippines,383065051167.8766,785000000000.0,Medium GDP
Poland,615954367833.7255,1000000000000.0,High GDP
Portugal,303875495988.59454,285000000000.0,Medium GDP
Qatar,309495791553.5398,300000000000.0,Medium GDP
Romania,348175070546.5327,409000000000.0,Medium GDP
Russia,4172758806138.227,3320000000000.0,High GDP
Saudi Arabia,1265563985565.8154,1500000000000.0,High GDP
Singapore,468449093469.91205,388000000000.0,Medium GDP
Slovakia,224026442778.17264,144000000000.0,Medium GDP
Slovenia,157083689857.191,59161378816.0,Low GDP
South Africa,743638819475.3385,648000000000.0,Medium GDP
South Korea,1866376434262.168,1850000000000.0,High GDP
Spain,1150450057872.0518,1480000000000.0,High GDP
Sri Lanka,153021381423.72812,252000000000.0,Medium GDP
Sweden,737881024032.3582,440000000000.0,Medium GDP
Switzerland,371418679003.9181,525000000000.0,Medium GDP
Taiwan,728774618599.4503,985000000000.0,High GDP
Thailand,754552667118.738,962000000000.0,High GDP
Trinidad and Tobago,173735124225.18683,35816759296.0,Low GDP
Turkey,999161862300.9362,1570000000000.0,High GDP
Turkmenistan,225692841508.97137,118000000000.0,Low GDP
Ukraine,743056581220.8876,429000000000.0,Medium GDP
United Arab Emirates,592537218202.2592,657000000000.0,Medium GDP
United Kingdom,1382707812208.249,2580000000000.0,High GDP
United States,14155759667790.18,17200000000000.0,High GDP
Uzbekistan,318895541361.6339,287000000000.0,Medium GDP
Venezuela,585749433290.9739,396000000000.0,Medium GDP
Vietnam,639740714366.3577,575000000000.0,Medium GDP
