country,year,energy_type,energy_subtype,amount
Algeria,2000,Fossil Fuel,Coal,5.641
Algeria,2000,Fossil Fuel,Gas,191.013
Algeria,2000,Fossil Fuel,Oil,103.133
Algeria,2000,Low Carbon,Biofuel,0.0
Algeria,2000,Low Carbon,Hydro,0.15
Algeria,2000,Low Carbon,Solar,0.0
Algeria,2000,Low Carbon,Wind,0.0
Algeria,2000,Low Carbon,Other Renewable,0.0
Algeria,2000,Low Carbon,Nuclear,0.0
Algeria,2001,Fossil Fuel,Coal,6.513
Algeria,2001,Fossil Fuel,Gas,197.322
Algeria,2001,Fossil Fuel,Oil,106.775
Algeria,2001,Low Carbon,Biofuel,0.0
Algeria,2001,Low Carbon,Hydro,0.19
Algeria,2001,Low Carbon,Solar,0.0
Algeria,2001,Low Carbon,Wind,0.0
Algeria,2001,Low Carbon,Other Renewable,0.0
Algeria,2001,Low Carbon,Nuclear,0.0
Algeria,2002,Fossil Fuel,Coal,8.548
Algeria,2002,Fossil Fuel,Gas,194.839
Algeria,2002,Fossil Fuel,Oil,118.397
Algeria,2002,Low Carbon,Biofuel,0.0
Algeria,2002,Low Carbon,Hydro,0.156
Algeria,2002,Low Carbon,Solar,0.0
Algeria,2002,Low Carbon,Wind,0.0
Algeria,2002,Low Carbon,Other Renewable,0.0
Algeria,2002,Low Carbon,Nuclear,0.0
Algeria,2003,Fossil Fuel,Coal,7.048
Algeria,2003,Fossil Fuel,Gas,205.932
Algeria,2003,Fossil Fuel,Oil,123.174
Algeria,2003,Low Carbon,Biofuel,0.0
Algeria,2003,Low Carbon,Hydro,0.722
Algeria,2003,Low Carbon,Solar,0.0
Algeria,2003,Low Carbon,Wind,0.0
Algeria,2003,Low Carbon,Other Renewable,0.0
Algeria,2003,Low Carbon,Nuclear,0.0
Algeria,2004,Fossil Fuel,Coal,8.408
Algeria,2004,Fossil Fuel,Gas,211.899
Algeria,2004,Fossil Fuel,Oil,128.747
Algeria,2004,Low Carbon,Biofuel,0.0
Algeria,2004,Low Carbon,Hydro,0.679
Algeria,2004,Low Carbon,Solar,0.0
Algeria,2004,Low Carbon,Wind,0.0
Algeria,2004,Low Carbon,Other Renewable,0.0
Algeria,2004,Low Carbon,Nuclear,0.0
Algeria,2005,Fossil Fuel,Coal,6.908
Algeria,2005,Fossil Fuel,Gas,223.56
Algeria,2005,Fossil Fuel,Oil,134.213
Algeria,2005,Low Carbon,Biofuel,0.0
Algeria,2005,Low Carbon,Hydro,1.494
Algeria,2005,Low Carbon,Solar,0.0
Algeria,2005,Low Carbon,Wind,0.0
Algeria,2005,Low Carbon,Other Renewable,0.0
Algeria,2005,Low Carbon,Nuclear,0.0
Algeria,2006,Fossil Fuel,Coal,10.258
Algeria,2006,Fossil Fuel,Gas,228.498
Algeria,2006,Fossil Fuel,Oil,139.846
Algeria,2006,Low Carbon,Biofuel,0.0
Algeria,2006,Low Carbon,Hydro,0.582
Algeria,2006,Low Carbon,Solar,0.0
Algeria,2006,Low Carbon,Wind,0.0
Algeria,2006,Low Carbon,Other Renewable,0.0
Algeria,2006,Low Carbon,Nuclear,0.0
Algeria,2007,Fossil Fuel,Coal,8.804
Algeria,2007,Fossil Fuel,Gas,233.807
Algeria,2007,Fossil Fuel,Oil,156.39
Algeria,2007,Low Carbon,Biofuel,0.0
Algeria,2007,Low Carbon,Hydro,0.6
Algeria,2007,Low Carbon,Solar,0.0
Algeria,2007,Low Carbon,Wind,0.0
Algeria,2007,Low Carbon,Other Renewable,0.0
Algeria,2007,Low Carbon,Nuclear,0.0
Algeria,2008,Fossil Fuel,Coal,8.804
Algeria,2008,Fossil Fuel,Gas,244.042
Algeria,2008,Fossil Fuel,Oil,169.916
Algeria,2008,Low Carbon,Biofuel,0.0
Algeria,2008,Low Carbon,Hydro,0.747
Algeria,2008,Low Carbon,Solar,0.0
Algeria,2008,Low Carbon,Wind,0.0
Algeria,2008,Low Carbon,Other Renewable,0.0
Algeria,2008,Low Carbon,Nuclear,0.0
Algeria,2009,Fossil Fuel,Coal,5.652
Algeria,2009,Fossil Fuel,Gas,262.118
Algeria,2009,Fossil Fuel,Oil,180.135
Algeria,2009,Low Carbon,Biofuel,0.0
Algeria,2009,Low Carbon,Hydro,0.897
Algeria,2009,Low Carbon,Solar,0.0
Algeria,2009,Low Carbon,Wind,0.0
Algeria,2009,Low Carbon,Other Renewable,0.0
Algeria,2009,Low Carbon,Nuclear,0.0
Algeria,2010,Fossil Fuel,Coal,3.605
Algeria,2010,Fossil Fuel,Gas,253.272
Algeria,2010,Fossil Fuel,Oil,180.049
Algeria,2010,Low Carbon,Biofuel,0.0
Algeria,2010,Low Carbon,Hydro,0.451
Algeria,2010,Low Carbon,Solar,0.024
Algeria,2010,Low Carbon,Wind,0.0
Algeria,2010,Low Carbon,Other Renewable,0.0
Algeria,2010,Low Carbon,Nuclear,0.0
Algeria,2011,Fossil Fuel,Coal,3.198
Algeria,2011,Fossil Fuel,Gas,267.97
Algeria,2011,Fossil Fuel,Oil,192.228
Algeria,2011,Low Carbon,Biofuel,0.0
Algeria,2011,Low Carbon,Hydro,0.98
Algeria,2011,Low Carbon,Solar,0.047
Algeria,2011,Low Carbon,Wind,0.0
Algeria,2011,Low Carbon,Other Renewable,0.0
Algeria,2011,Low Carbon,Nuclear,0.0
Algeria,2012,Fossil Fuel,Coal,3.396
Algeria,2012,Fossil Fuel,Gas,298.741
Algeria,2012,Fossil Fuel,Oil,204.395
Algeria,2012,Low Carbon,Biofuel,0.0
Algeria,2012,Low Carbon,Hydro,1.002
Algeria,2012,Low Carbon,Solar,0.069
Algeria,2012,Low Carbon,Wind,0.0
Algeria,2012,Low Carbon,Other Renewable,0.0
Algeria,2012,Low Carbon,Nuclear,0.0
Algeria,2013,Fossil Fuel,Coal,1.838
Algeria,2013,Fossil Fuel,Gas,321.215
Algeria,2013,Fossil Fuel,Oil,213.577
Algeria,2013,Low Carbon,Biofuel,0.0
Algeria,2013,Low Carbon,Hydro,0.253
Algeria,2013,Low Carbon,Solar,0.073
Algeria,2013,Low Carbon,Wind,0.0
Algeria,2013,Low Carbon,Other Renewable,0.0
Algeria,2013,Low Carbon,Nuclear,0.0
Algeria,2014,Fossil Fuel,Coal,2.082
Algeria,2014,Fossil Fuel,Gas,360.919
Algeria,2014,Fossil Fuel,Oil,221.925
Algeria,2014,Low Carbon,Biofuel,0.0
Algeria,2014,Low Carbon,Hydro,0.491
Algeria,2014,Low Carbon,Solar,0.153
Algeria,2014,Low Carbon,Wind,0.003
Algeria,2014,Low Carbon,Other Renewable,0.0
Algeria,2014,Low Carbon,Nuclear,0.0
Algeria,2015,Fossil Fuel,Coal,1.547
Algeria,2015,Fossil Fuel,Gas,379.225
Algeria,2015,Fossil Fuel,Oil,236.149
Algeria,2015,Low Carbon,Biofuel,0.0
Algeria,2015,Low Carbon,Hydro,0.367
Algeria,2015,Low Carbon,Solar,0.147
Algeria,2015,Low Carbon,Wind,0.048
Algeria,2015,Low Carbon,Other Renewable,0.0
Algeria,2015,Low Carbon,Nuclear,0.0
Algeria,2016,Fossil Fuel,Coal,0.57
Algeria,2016,Fossil Fuel,Gas,385.963
Algeria,2016,Fossil Fuel,Oil,229.441
Algeria,2016,Low Carbon,Biofuel,0.0
Algeria,2016,Low Carbon,Hydro,0.181
Algeria,2016,Low Carbon,Solar,0.616
Algeria,2016,Low Carbon,Wind,0.048
Algeria,2016,Low Carbon,Other Renewable,0.0
Algeria,2016,Low Carbon,Nuclear,0.0
Argentina,2000,Fossil Fuel,Coal,7.513
Argentina,2000,Fossil Fuel,Gas,322.968
Argentina,2000,Fossil Fuel,Oil,241.977
Argentina,2000,Low Carbon,Biofuel,0.0
Argentina,2000,Low Carbon,Hydro,94.539
Argentina,2000,Low Carbon,Solar,0.0
Argentina,2000,Low Carbon,Wind,0.097
Argentina,2000,Low Carbon,Other Renewable,1.875
Argentina,2000,Low Carbon,Nuclear,17.158
Argentina,2001,Fossil Fuel,Coal,6.157
Argentina,2001,Fossil Fuel,Gas,302.35
Argentina,2001,Fossil Fuel,Oil,233.114
Argentina,2001,Low Carbon,Biofuel,0.0
Argentina,2001,Low Carbon,Hydro,115.642
Argentina,2001,Low Carbon,Solar,0.0
Argentina,2001,Low Carbon,Wind,0.136
Argentina,2001,Low Carbon,Other Renewable,1.682
Argentina,2001,Low Carbon,Nuclear,19.481
Argentina,2002,Fossil Fuel,Coal,4.586
Argentina,2002,Fossil Fuel,Gas,294.376
Argentina,2002,Fossil Fuel,Oil,214.874
Argentina,2002,Low Carbon,Biofuel,0.0
Argentina,2002,Low Carbon,Hydro,113.7
Argentina,2002,Low Carbon,Solar,0.0
Argentina,2002,Low Carbon,Wind,0.201
Argentina,2002,Low Carbon,Other Renewable,2.331
Argentina,2002,Low Carbon,Nuclear,15.961
Argentina,2003,Fossil Fuel,Coal,5.594
Argentina,2003,Fossil Fuel,Gas,336.291
Argentina,2003,Fossil Fuel,Oil,221.144
Argentina,2003,Low Carbon,Biofuel,0.0
Argentina,2003,Low Carbon,Hydro,106.468
Argentina,2003,Low Carbon,Solar,0.0
Argentina,2003,Low Carbon,Wind,0.212
Argentina,2003,Low Carbon,Other Renewable,2.763
Argentina,2003,Low Carbon,Nuclear,20.613
Argentina,2004,Fossil Fuel,Coal,9.52
Argentina,2004,Fossil Fuel,Gas,368.092
Argentina,2004,Fossil Fuel,Oil,232.647
Argentina,2004,Low Carbon,Biofuel,0.0
Argentina,2004,Low Carbon,Hydro,95.836
Argentina,2004,Low Carbon,Solar,0.0
Argentina,2004,Low Carbon,Wind,0.196
Argentina,2004,Low Carbon,Other Renewable,2.437
Argentina,2004,Low Carbon,Nuclear,21.301
Argentina,2005,Fossil Fuel,Coal,10.962
Argentina,2005,Fossil Fuel,Gas,392.89
Argentina,2005,Fossil Fuel,Oil,247.287
Argentina,2005,Low Carbon,Biofuel,0.0
Argentina,2005,Low Carbon,Hydro,105.847
Argentina,2005,Low Carbon,Solar,0.0
Argentina,2005,Low Carbon,Wind,0.193
Argentina,2005,Low Carbon,Other Renewable,2.889
Argentina,2005,Low Carbon,Nuclear,18.488
Argentina,2006,Fossil Fuel,Coal,9.924
Argentina,2006,Fossil Fuel,Gas,406.505
Argentina,2006,Fossil Fuel,Oil,259.96
Argentina,2006,Low Carbon,Biofuel,0.0
Argentina,2006,Low Carbon,Hydro,116.605
Argentina,2006,Low Carbon,Solar,0.0
Argentina,2006,Low Carbon,Wind,0.186
Argentina,2006,Low Carbon,Other Renewable,4.19
Argentina,2006,Low Carbon,Nuclear,20.638
Argentina,2007,Fossil Fuel,Coal,14.36
Argentina,2007,Fossil Fuel,Gas,427.122
Argentina,2007,Fossil Fuel,Oil,288.759
Argentina,2007,Low Carbon,Biofuel,0.0
Argentina,2007,Low Carbon,Hydro,100.25
Argentina,2007,Low Carbon,Solar,0.0
Argentina,2007,Low Carbon,Wind,0.164
Argentina,2007,Low Carbon,Other Renewable,4.185
Argentina,2007,Low Carbon,Nuclear,19.268
Argentina,2008,Fossil Fuel,Coal,17.516
Argentina,2008,Fossil Fuel,Gas,431.888
Argentina,2008,Fossil Fuel,Oil,296.955
Argentina,2008,Low Carbon,Biofuel,0.0
Argentina,2008,Low Carbon,Hydro,98.196
Argentina,2008,Low Carbon,Solar,0.0
Argentina,2008,Low Carbon,Wind,0.111
Argentina,2008,Low Carbon,Other Renewable,4.471
Argentina,2008,Low Carbon,Nuclear,19.518
Argentina,2009,Fossil Fuel,Coal,9.621
Argentina,2009,Fossil Fuel,Gas,418.356
Argentina,2009,Fossil Fuel,Oil,290.821
Argentina,2009,Low Carbon,Biofuel,0.0
Argentina,2009,Low Carbon,Hydro,106.993
Argentina,2009,Low Carbon,Solar,0.0
Argentina,2009,Low Carbon,Wind,0.097
Argentina,2009,Low Carbon,Other Renewable,4.535
Argentina,2009,Low Carbon,Nuclear,21.468
Argentina,2010,Fossil Fuel,Coal,13.472
Argentina,2010,Fossil Fuel,Gas,420.875
Argentina,2010,Fossil Fuel,Oil,326.294
Argentina,2010,Low Carbon,Biofuel,5.962
Argentina,2010,Low Carbon,Hydro,105.71
Argentina,2010,Low Carbon,Solar,0.0
Argentina,2010,Low Carbon,Wind,0.066
Argentina,2010,Low Carbon,Other Renewable,5.249
Argentina,2010,Low Carbon,Nuclear,18.799
Argentina,2011,Fossil Fuel,Coal,14.619
Argentina,2011,Fossil Fuel,Gas,438.398
Argentina,2011,Fossil Fuel,Oil,326.754
Argentina,2011,Low Carbon,Biofuel,8.8
Argentina,2011,Low Carbon,Hydro,102.728
Argentina,2011,Low Carbon,Solar,0.004
Argentina,2011,Low Carbon,Wind,0.069
Argentina,2011,Low Carbon,Other Renewable,5.676
Argentina,2011,Low Carbon,Nuclear,16.585
Argentina,2012,Fossil Fuel,Coal,13.669
Argentina,2012,Fossil Fuel,Gas,456.642
Argentina,2012,Fossil Fuel,Oil,339.731
Argentina,2012,Low Carbon,Biofuel,10.877
Argentina,2012,Low Carbon,Hydro,94.984
Argentina,2012,Low Carbon,Solar,0.021
Argentina,2012,Low Carbon,Wind,0.953
Argentina,2012,Low Carbon,Other Renewable,6.32
Argentina,2012,Low Carbon,Nuclear,16.49
Argentina,2013,Fossil Fuel,Coal,14.939
Argentina,2013,Fossil Fuel,Gas,460.277
Argentina,2013,Fossil Fuel,Oil,364.19
Argentina,2013,Low Carbon,Biofuel,12.06
Argentina,2013,Low Carbon,Hydro,104.202
Argentina,2013,Low Carbon,Solar,0.039
Argentina,2013,Low Carbon,Wind,1.161
Argentina,2013,Low Carbon,Other Renewable,6.291
Argentina,2013,Low Carbon,Nuclear,15.891
Argentina,2014,Fossil Fuel,Coal,15.892
Argentina,2014,Fossil Fuel,Gas,461.55
Argentina,2014,Fossil Fuel,Oil,357.073
Argentina,2014,Low Carbon,Biofuel,14.111
Argentina,2014,Low Carbon,Hydro,103.995
Argentina,2014,Low Carbon,Solar,0.041
Argentina,2014,Low Carbon,Wind,1.577
Argentina,2014,Low Carbon,Other Renewable,5.858
Argentina,2014,Low Carbon,Nuclear,14.033
Argentina,2015,Fossil Fuel,Coal,15.814
Argentina,2015,Fossil Fuel,Gas,466.526
Argentina,2015,Fossil Fuel,Oil,367.291
Argentina,2015,Low Carbon,Biofuel,15.394
Argentina,2015,Low Carbon,Hydro,105.671
Argentina,2015,Low Carbon,Solar,0.037
Argentina,2015,Low Carbon,Wind,1.501
Argentina,2015,Low Carbon,Other Renewable,6.016
Argentina,2015,Low Carbon,Nuclear,17.807
Argentina,2016,Fossil Fuel,Coal,12.189
Argentina,2016,Fossil Fuel,Gas,482.1
Argentina,2016,Fossil Fuel,Oil,359.374
Argentina,2016,Low Carbon,Biofuel,16.339
Argentina,2016,Low Carbon,Hydro,96.202
Argentina,2016,Low Carbon,Solar,0.036
Argentina,2016,Low Carbon,Wind,1.376
Argentina,2016,Low Carbon,Other Renewable,4.938
Argentina,2016,Low Carbon,Nuclear,20.835
Australia,2000,Fossil Fuel,Coal,591.584
Australia,2000,Fossil Fuel,Gas,205.551
Australia,2000,Fossil Fuel,Oil,467.658
Australia,2000,Low Carbon,Biofuel,0.0
Australia,2000,Low Carbon,Hydro,45.74
Australia,2000,Low Carbon,Solar,0.13
Australia,2000,Low Carbon,Wind,0.372
Australia,2000,Low Carbon,Other Renewable,2.471
Australia,2000,Low Carbon,Nuclear,0.0
Australia,2001,Fossil Fuel,Coal,585.612
Australia,2001,Fossil Fuel,Gas,221.693
Australia,2001,Fossil Fuel,Oil,470.647
Australia,2001,Low Carbon,Biofuel,0.0
Australia,2001,Low Carbon,Hydro,44.497
Australia,2001,Low Carbon,Solar,0.149
Australia,2001,Low Carbon,Wind,0.792
Australia,2001,Low Carbon,Other Renewable,2.201
Australia,2001,Low Carbon,Nuclear,0.0
Australia,2002,Fossil Fuel,Coal,598.795
Australia,2002,Fossil Fuel,Gas,228.148
Australia,2002,Fossil Fuel,Oil,469.101
Australia,2002,Low Carbon,Biofuel,0.0
Australia,2002,Low Carbon,Hydro,44.131
Australia,2002,Low Carbon,Solar,0.16
Australia,2002,Low Carbon,Wind,1.463
Australia,2002,Low Carbon,Other Renewable,3.473
Australia,2002,Low Carbon,Nuclear,0.0
Australia,2003,Fossil Fuel,Coal,615.945
Australia,2003,Fossil Fuel,Gas,229.943
Australia,2003,Fossil Fuel,Oil,468.795
Australia,2003,Low Carbon,Biofuel,0.0
Australia,2003,Low Carbon,Hydro,44.163
Australia,2003,Low Carbon,Solar,0.172
Australia,2003,Low Carbon,Wind,1.918
Australia,2003,Low Carbon,Other Renewable,4.609
Australia,2003,Low Carbon,Nuclear,0.0
Australia,2004,Fossil Fuel,Coal,641.831
Australia,2004,Fossil Fuel,Gas,234.536
Australia,2004,Fossil Fuel,Oil,482.08
Australia,2004,Low Carbon,Biofuel,0.0
Australia,2004,Low Carbon,Hydro,42.464
Australia,2004,Low Carbon,Solar,0.197
Australia,2004,Low Carbon,Wind,2.152
Australia,2004,Low Carbon,Other Renewable,7.621
Australia,2004,Low Carbon,Nuclear,0.0
Australia,2005,Fossil Fuel,Coal,638.129
Australia,2005,Fossil Fuel,Gas,232.59
Australia,2005,Fossil Fuel,Oil,478.913
Australia,2005,Low Carbon,Biofuel,0.08
Australia,2005,Low Carbon,Hydro,41.601
Australia,2005,Low Carbon,Solar,0.226
Australia,2005,Low Carbon,Wind,3.494
Australia,2005,Low Carbon,Other Renewable,10.413
Australia,2005,Low Carbon,Nuclear,0.0
Australia,2006,Fossil Fuel,Coal,655.413
Australia,2006,Fossil Fuel,Gas,259.431
Australia,2006,Fossil Fuel,Oil,518.095
Australia,2006,Low Carbon,Biofuel,0.946
Australia,2006,Low Carbon,Hydro,39.948
Australia,2006,Low Carbon,Solar,0.261
Australia,2006,Low Carbon,Wind,5.779
Australia,2006,Low Carbon,Other Renewable,10.511
Australia,2006,Low Carbon,Nuclear,0.0
Australia,2007,Fossil Fuel,Coal,649.729
Australia,2007,Fossil Fuel,Gas,290.198
Australia,2007,Fossil Fuel,Oil,511.947
Australia,2007,Low Carbon,Biofuel,3.608
Australia,2007,Low Carbon,Hydro,34.661
Australia,2007,Low Carbon,Solar,0.302
Australia,2007,Low Carbon,Wind,7.576
Australia,2007,Low Carbon,Other Renewable,11.355
Australia,2007,Low Carbon,Nuclear,0.0
Australia,2008,Fossil Fuel,Coal,677.221
Australia,2008,Fossil Fuel,Gas,285.35
Australia,2008,Fossil Fuel,Oil,512.6
Australia,2008,Low Carbon,Biofuel,8.652
Australia,2008,Low Carbon,Hydro,31.189
Australia,2008,Low Carbon,Solar,0.367
Australia,2008,Low Carbon,Wind,9.129
Australia,2008,Low Carbon,Other Renewable,9.757
Australia,2008,Low Carbon,Nuclear,0.0
Australia,2009,Fossil Fuel,Coal,654.79
Australia,2009,Fossil Fuel,Gas,291.365
Australia,2009,Fossil Fuel,Oil,509.569
Australia,2009,Low Carbon,Biofuel,12.698
Australia,2009,Low Carbon,Hydro,33.166
Australia,2009,Low Carbon,Solar,0.761
Australia,2009,Low Carbon,Wind,11.642
Australia,2009,Low Carbon,Other Renewable,7.311
Australia,2009,Low Carbon,Nuclear,0.0
Australia,2010,Fossil Fuel,Coal,607.329
Australia,2010,Fossil Fuel,Gas,337.837
Australia,2010,Fossil Fuel,Oil,505.024
Australia,2010,Low Carbon,Biofuel,19.16
Australia,2010,Low Carbon,Hydro,35.841
Australia,2010,Low Carbon,Solar,2.549
Australia,2010,Low Carbon,Wind,12.998
Australia,2010,Low Carbon,Other Renewable,6.366
Australia,2010,Low Carbon,Nuclear,0.0
Australia,2011,Fossil Fuel,Coal,591.993
