iso_code,country,year,gdp,population,fossil_fuel_consumption,coal_consumption,coal_production,gas_consumption,gas_production,oil_consumption,oil_production,low_carbon_consumption,renewables_consumption,biofuel_consumption,hydro_consumption,solar_consumption,wind_consumption,other_renewable_consumption,nuclear_consumption
EGY,Egypt,2000,355000000000.0,68832000.0,525.83,10.111,0.0,192.5,202.125,323.219,451.871,39.608,39.608,0.0,39.383,0.001,0.224,0.0,0.0
EGY,Egypt,2001,377000000000.0,70153000.0,555.354,8.895,0.0,235.813,242.55,310.647,436.579,40.274,40.274,0.0,39.778,0.002,0.494,0.0,0.0
EGY,Egypt,2002,388000000000.0,71485000.0,565.768,9.542,0.0,255.063,262.763,301.163,432.405,38.957,38.957,0.0,38.372,0.003,0.583,0.0,0.0
EGY,Egypt,2003,401000000000.0,72826000.0,605.183,9.894,0.0,285.863,289.713,309.426,430.453,36.032,36.032,0.0,35.251,0.003,0.779,0.0,0.0
EGY,Egypt,2004,420000000000.0,74172000.0,635.097,10.113,0.0,305.113,317.625,319.872,404.539,36.102,36.102,0.0,34.735,0.003,1.364,0.0,0.0
EGY,Egypt,2005,449000000000.0,75524000.0,668.968,9.894,0.0,304.15,409.063,354.923,385.109,35.386,35.386,0.0,34.011,0.003,1.372,0.0,0.0
EGY,Egypt,2006,483000000000.0,76874000.0,703.455,9.9,0.0,351.313,526.488,342.242,385.044,35.792,35.792,0.0,34.172,0.003,1.617,0.0,0.0
EGY,Egypt,2007,552000000000.0,78232000.0,743.228,8.999,0.0,369.215,536.017,365.014,392.572,39.528,39.528,0.0,37.765,0.003,1.76,0.0,0.0
EGY,Egypt,2008,653000000000.0,79636000.0,791.668,8.098,0.0,393.085,567.587,390.485,402.376,42.308,42.308,0.0,39.85,0.004,2.454,0.0,0.0
EGY,Egypt,2009,685000000000.0,81135000.0,828.129,7.198,0.0,409.448,603.392,411.484,409.408,38.858,38.858,0.0,36.132,0.006,2.721,0.0,0.0
EGY,Egypt,2010,800000000000.0,82761000.0,874.337,5.396,0.0,434.184,590.205,434.756,406.738,37.517,37.517,0.0,33.777,0.066,3.674,0.0,0.0
EGY,Egypt,2011,919000000000.0,84529000.0,887.834,5.126,0.0,477.593,591.433,405.115,401.733,38.171,38.171,0.0,33.663,0.243,4.265,0.0,0.0
EGY,Egypt,2012,943000000000.0,86422000.0,934.931,4.542,0.0,506.372,585.982,424.017,403.209,38.296,38.296,0.0,33.556,0.15,4.591,0.0,0.0
EGY,Egypt,2013,974000000000.0,88405000.0,928.149,4.487,0.0,495.014,539.649,428.648,398.97,37.99,37.99,0.0,33.889,0.151,3.95,0.0,0.0
