iso_code,country,year,gdp,population,fossil_fuel_consumption,coal_consumption,coal_production,gas_consumption,gas_production,oil_consumption,oil_production,low_carbon_consumption,renewables_consumption,biofuel_consumption,hydro_consumption,solar_consumption,wind_consumption,other_renewable_consumption,nuclear_consumption,efficiency
VNM,Vietnam,2000,178000000000.0,79910000.0,169.233,54.536,75.269,15.44,15.44,99.257,192.141,40.419,40.419,0.0,40.419,0.0,0.0,0.0,0.0,849026004.9987599
VNM,Vietnam,2001,190000000000.0,80743000.0,186.506,59.599,86.861,19.3,19.3,107.607,198.515,50.255,50.255,0.0,50.255,0.0,0.0,0.0,0.0,802497032.8728126
VNM,Vietnam,2002,209000000000.0,81534000.0,209.406,68.059,106.39,23.16,23.16,118.187,199.851,49.898,49.898,0.0,49.898,0.0,0.0,0.0,0.0,806003763.9218831
VNM,Vietnam,2003,227000000000.0,82302000.0,228.173,79.237,125.225,22.899,22.899,126.037,209.639,51.725,51.725,0.0,51.725,0.0,0.0,0.0,0.0,811009724.9712394
VNM,Vietnam,2004,247000000000.0,83063000.0,294.191,103.844,177.321,40.144,40.144,150.203,237.029,48.233,48.233,0.0,48.233,0.0,0.0,0.0,0.0,721327944.3029695
VNM,Vietnam,2005,272000000000.0,83833000.0,317.867,108.74,221.047,62.146,62.146,146.98,219.322,44.612,44.612,0.0,44.477,0.0,0.0,0.134,0.0,750388298.3565943
VNM,Vietnam,2006,292000000000.0,84618000.0,278.436,66.615,251.422,67.55,67.55,144.271,199.073,52.86,52.86,0.0,52.687,0.0,0.0,0.174,0.0,881387037.5736501
VNM,Vietnam,2007,330000000000.0,85420000.0,302.06,72.92,275.444,68.322,68.322,160.818,188.112,59.808,59.808,0.0,59.598,0.0,0.0,0.21,0.0,911934738.633977
VNM,Vietnam,2008,351000000000.0,86243000.0,380.702,138.262,257.9,72.365,72.365,170.075,176.071,68.741,68.741,0.0,68.591,0.0,0.004,0.145,0.0,780966663.1808705
VNM,Vietnam,2009,355000000000.0,87092000.0,378.583,129.733,285.786,77.297,77.297,171.554,192.954,78.837,78.837,0.0,78.643,0.0,0.03,0.163,0.0,776091994.2284989
VNM,Vietnam,2010,400000000000.0,87968000.0,445.605,169.257,290.694,90.729,90.729,185.618,177.139,74.638,74.638,0.0,74.373,0.015,0.106,0.143,0.0,768871469.6785924
VNM,Vietnam,2011,434000000000.0,88871000.0,485.397,201.711,302.209,81.832,81.832,201.854,179.148,106.712,106.712,0.0,106.446,0.015,0.105,0.145,0.0,732973151.9027746
VNM,Vietnam,2012,450000000000.0,89802000.0,483.873,187.222,272.851,90.276,90.276,206.375,197.322,137.569,137.569,0.0,137.302,0.015,0.105,0.147,0.0,724122283.3345671
VNM,Vietnam,2013,475000000000.0,90753000.0,514.644,199.971,266.244,94.097,94.097,220.576,196.365,148.372,148.372,0.0,148.032,0.015,0.176,0.148,0.0,716423133.0767281
VNM,Vietnam,2014,507000000000.0,91714000.0,567.055,241.617,266.387,98.527,98.527,226.911,184.071,158.547,158.547,0.0,158.204,0.017,0.175,0.15,0.0,698730157.8551327
VNM,Vietnam,2015,541000000000.0,92677000.0,659.056,305.124,270.134,102.869,102.869,251.063,199.351,145.27,145.27,0.0,144.629,0.017,0.447,0.177,0.0,672612846.0350654
VNM,Vietnam,2016,575000000000.0,93640000.0,697.203,330.18,251.144,102.387,102.387,264.637,180.1,166.811,166.811,0.0,166.096,0.017,0.528,0.171,0.0,665498475.7191434
OWID_WRL,World,2000,57300000000000.0,6143494144.0,1209.158858974359,351.5040128205128,343.5885769230769,307.69085897435895,307.8212820512821,549.9639871794872,536.7206666666667,195.75624358974358,103.84380769230769,1.6158846153846154,94.44315384615385,0.0398974358974359,1.118974358974359,6.6258974358974365,91.9124358974359,522889520.70814973
