country,year,energy_type,amount
Vietnam,2000,fossil_fuel_consumption,169.233
Vietnam,2000,coal_consumption,54.536
Vietnam,2000,coal_production,75.269
Vietnam,2000,gas_consumption,15.44
Vietnam,2000,gas_production,15.44
Vietnam,2000,oil_consumption,99.257
Vietnam,2000,oil_production,192.141
Vietnam,2000,low_carbon_consumption,40.419
Vietnam,2000,renewables_consumption,40.419
Vietnam,2000,biofuel_consumption,0.0
Vietnam,2000,hydro_consumption,40.419
Vietnam,2000,solar_consumption,0.0
Vietnam,2000,wind_consumption,0.0
Vietnam,2000,other_renewable_consumption,0.0
Vietnam,2000,nuclear_consumption,0.0
Vietnam,2001,fossil_fuel_consumption,186.506
Vietnam,2001,coal_consumption,59.599
Vietnam,2001,coal_production,86.861
Vietnam,2001,gas_consumption,19.3
Vietnam,2001,gas_production,19.3
Vietnam,2001,oil_consumption,107.607
Vietnam,2001,oil_production,198.515
Vietnam,2001,low_carbon_consumption,50.255
Vietnam,2001,renewables_consumption,50.255
Vietnam,2001,biofuel_consumption,0.0
Vietnam,2001,hydro_consumption,50.255
Vietnam,2001,solar_consumption,0.0
Vietnam,2001,wind_consumption,0.0
Vietnam,2001,other_renewable_consumption,0.0
Vietnam,2001,nuclear_consumption,0.0
Vietnam,2002,fossil_fuel_consumption,209.406
Vietnam,2002,coal_consumption,68.059
Vietnam,2002,coal_production,106.39
Vietnam,2002,gas_consumption,23.16
Vietnam,2002,gas_production,23.16
Vietnam,2002,oil_consumption,118.187
Vietnam,2002,oil_production,199.851
Vietnam,2002,low_carbon_consumption,49.898
Vietnam,2002,renewables_consumption,49.898
Vietnam,2002,biofuel_consumption,0.0
Vietnam,2002,hydro_consumption,49.898
Vietnam,2002,solar_consumption,0.0
Vietnam,2002,wind_consumption,0.0
Vietnam,2002,other_renewable_consumption,0.0
Vietnam,2002,nuclear_consumption,0.0
Vietnam,2003,fossil_fuel_consumption,228.173
Vietnam,2003,coal_consumption,79.237
Vietnam,2003,coal_production,125.225
Vietnam,2003,gas_consumption,22.899
Vietnam,2003,gas_production,22.899
Vietnam,2003,oil_consumption,126.037
Vietnam,2003,oil_production,209.639
Vietnam,2003,low_carbon_consumption,51.725
Vietnam,2003,renewables_consumption,51.725
Vietnam,2003,biofuel_consumption,0.0
Vietnam,2003,hydro_consumption,51.725
Vietnam,2003,solar_consumption,0.0
Vietnam,2003,wind_consumption,0.0
Vietnam,2003,other_renewable_consumption,0.0
Vietnam,2003,nuclear_consumption,0.0
Vietnam,2004,fossil_fuel_consumption,294.191
Vietnam,2004,coal_consumption,103.844
Vietnam,2004,coal_production,177.321
Vietnam,2004,gas_consumption,40.144
Vietnam,2004,gas_production,40.144
Vietnam,2004,oil_consumption,150.203
Vietnam,2004,oil_production,237.029
Vietnam,2004,low_carbon_consumption,48.233
Vietnam,2004,renewables_consumption,48.233
Vietnam,2004,biofuel_consumption,0.0
Vietnam,2004,hydro_consumption,48.233
Vietnam,2004,solar_consumption,0.0
Vietnam,2004,wind_consumption,0.0
Vietnam,2004,other_renewable_consumption,0.0
Vietnam,2004,nuclear_consumption,0.0
Vietnam,2005,fossil_fuel_consumption,317.867
Vietnam,2005,coal_consumption,108.74
Vietnam,2005,coal_production,221.047
Vietnam,2005,gas_consumption,62.146
Vietnam,2005,gas_production,62.146
Vietnam,2005,oil_consumption,146.98
Vietnam,2005,oil_production,219.322
Vietnam,2005,low_carbon_consumption,44.612
Vietnam,2005,renewables_consumption,44.612
Vietnam,2005,biofuel_consumption,0.0
Vietnam,2005,hydro_consumption,44.477
Vietnam,2005,solar_consumption,0.0
Vietnam,2005,wind_consumption,0.0
Vietnam,2005,other_renewable_consumption,0.134
Vietnam,2005,nuclear_consumption,0.0
Vietnam,2006,fossil_fuel_consumption,278.436
